dimPhysicianPK,ProviderNpi,ProviderName,SpecialityCode,ProviderFTE
216332,187719108,Zuniga,97,1
215759,187700570,Zhang,50,0.9
215806,187716326,Yoder,50,1
215760,187720694,Yates,50,1
216264,187714896,Willis,50,0.37
216403,187703274,Williams,50,0.18
212304,187723866,Wiggins,80,0.09
216297,187724308,Wells,97,0.5
215260,187708396,Webster,50,1
215607,187711152,Watts,97,0.25
216635,187719056,Warren,50,0.9
216020,187710528,Velez,50,1
218381,187710528,Velez,50,1
216105,187719888,Vega,50,1
216515,187715234,Vasquez,97,0.25
215648,187719862,Vance,97,1
216124,187708188,Valencia,50,0.5
215833,187715364,Tyler,50,1
216570,187715806,Turner,97,0.9
216728,187705172,Trevino,50,0.9
215370,187706082,Strong,50,0.9
216561,187720590,Soto,97,1
215609,187702676,Sosa,50,1
217513,187714298,Snyder,97,0.9
216531,187707356,Simpson,97,0.9
216596,187720642,Sharp,50,0.75
217240,187713232,Sellers,97,0.17
215994,187714740,Schmidt,50,1
216988,187706576,Saunders,97,0.9
215872,187706550,Santiago,97,1
216777,187707200,Santana,97,1
216583,187721214,Salas,43,1
215844,187716716,Roy,97,1
215448,187719420,Roth,97,0.13
216522,187715624,Rivera,97,1
217295,187718172,Ritter,50,0.75
216579,187699946,Rich,97,0.16
216005,187721708,Rice,97,1
215196,187718432,Reyes,97,0.9
215224,187712426,Reed,50,1
216298,187717418,Raymond,50,0.9
215322,187710918,Rasmussen,50,0.5
215810,187716534,Rangel,50,1
216254,187712062,Prince,50,1
215442,187718224,Powell,50,1
216208,187720668,Poole,50,0.5
215235,187703924,Ponce,97,1
217187,187706524,Pollard,97,0.9
216670,187701532,Pierce,97,1
215385,187721422,Phillips,50,1
216543,187710320,Petty,97,1
215494,187724126,Petersen,50,1
216542,187720980,Peters,50,0.75
215497,187713492,Perkins,97,1
215480,187723580,Pennington,97,1
215932,187701688,Owens,50,0.16
215570,187702650,Ortega,97,0.5
215441,187712842,Oneill,97,0.75
217114,187710892,Oliver,50,0.9
216719,187712790,Odonnell,97,0.9
215907,187704912,Oconnor,50,1
216608,187717652,Norris,50,1
217037,187709228,Nixon,97,0.6
217309,187706264,Nguyen,97,0
218448,187718822,Neal,80,0.11
215357,187718536,Navarro,50,0.9
216833,187716066,Nash,97,0.9
215564,187711828,Munoz,50,0.9
216953,187708682,Mullen,97,0.9
216062,187708032,Moyer,50,1
217626,187709540,Mosley,50,0.44
216071,187716664,Morse,43,1
215960,187712036,Morrow,50,1
215484,187721006,Montgomery,97,0.9
215840,187709956,Miranda,97,1
216016,187708370,Mills,50,1
212444,187708448,Miller,68,0.41
216459,187711256,Michael,97,1
215936,187717860,Meyers,50,0.75
215857,187719446,Mercado,97,1
217093,187711854,Mcmillan,50,0.9
216882,187706134,Mckee,97,0.8
216646,187709904,Mcintosh,43,0.9
215740,187701662,Mcfarland,50,1
216775,187712816,Mcdowell,50,0.63
216470,187715390,Mcdonald,50,1
215432,187721188,Mccann,50,1
216061,187724022,Martin,50,0.5
215301,187704730,Marshall,50,1
217721,187714324,Marsh,50,0.5
215986,187711750,Malone,97,1
212332,187723554,Mahoney,68,0.1
215262,187716612,Madden,50,0.3
217785,187708500,Lynch,97,0
213767,187712582,Lowery,80,0.16
216892,187705198,Long,50,0.9
216098,187710606,Lindsey,97,0.75
215856,187702130,Leon,50,0.45
216848,187718484,Le,50,1
216983,187700050,Lamb,50,1
214180,187717028,Knight,97,1
216211,187703248,Klein,50,0.9
215835,187719602,Kirby,50,1
215592,187713830,Key,97,0.96
216557,187703508,Keith,42,0.02
215304,187715026,Kaufman,97,1
216700,187719758,Juarez,50,0.39
218256,187714714,Johnson,50,0.2
215368,187707382,Johns,50,1
216503,187719966,Jacobs,50,1
217432,187703820,Irwin,97,1
216714,187717964,Huber,97,0.75
215635,187712946,Horne,97,0.07
211846,187722306,Horn,68,0.04
216825,187714116,Hopkins,50,1
217052,187706966,Hodges,50,1
215756,187720148,Hodge,50,0.75
215939,187717886,Hobbs,50,1
216450,187721838,Higgins,97,1
216709,187718198,Hickman,97,1
216362,187720928,Herrera,97,0.9
215983,187721812,Hernandez,97,1
215460,187717106,Henry,50,0.9
215694,187717938,Henderson,50,0.75
216369,187714948,Hebert,50,1
215716,187722332,Harris,97,1
215808,187703612,Harmon,50,0.8
216159,187705146,Hansen,50,1
215777,187714402,Hanna,97,0.07
215535,187701636,Hall,97,1
214432,187708422,Griffith,68,0.1
215814,187706290,Gomez,50,1
215334,187723242,Gilbert,50,1
215908,187716144,Gibbs,97,1
217423,187711776,Gentry,50,1
216617,187715260,Gay,97,0.09
216917,187705822,Garner,50,1
215585,187709046,Fuller,97,1
216296,187703794,Fuentes,97,1
216759,187702702,Fry,50,0.75
216870,187709488,Fritz,50,0.6
216845,187703326,Franklin,97,1
216929,187720954,Foster,50,1
215586,187700596,Foley,97,1
216357,187717444,Fletcher,50,0.5
217075,187704340,Ferrell,97,0.9
215552,187706758,Faulkner,50,1
217168,187709124,Farrell,97,0.9
218239,187709332,Ellison,97,0.14
216011,187706914,Edwards,97,0.9
216316,187704496,Dunlap,97,1
216715,187702572,Douglas,97,1
218370,187707174,Dougherty,80,0.36
215418,187701714,Dorsey,50,1
215341,187715416,Donovan,68,0.48
215455,187719914,Dixon,97,0.9
215228,187717132,Dickson,50,1
215901,187723216,Dennis,50,1
215601,187709202,Davies,97,0.9
216028,187711932,Daugherty,50,1
216504,187711178,Daniels,50,1
216581,187712400,Curry,97,1
215580,187711100,Cordova,97,1
216477,187717756,Cooper,50,1
215721,187718848,Compton,50,1
215387,187709748,Combs,50,1
216041,187700154,Coffey,97,0.9
216096,187715546,Clayton,50,1
215300,187713648,Chung,50,1
216276,187721734,Christensen,50,0.75
215865,187701974,Chambers,50,1
211008,187719082,Carroll,80,0.43
215947,187705744,Campos,97,1
216333,187708786,Cameron,68,0.24
213596,187701376,Camacho,97,0.11
216765,187717158,Callahan,97,1
215949,187724334,Burgess,97,0.05
213803,187707642,Buchanan,68,0.29
217025,187713778,Bryant,50,0.9
216891,187714662,Brock,50,1
215221,187700882,Bradley,97,0.75
216144,187713752,Bonilla,50,1
215321,187715598,Blankenship,42,0.07
216384,187715572,Bird,97,1
215297,187721162,Best,97,0.5
216080,187719342,Bernard,50,0.3
215298,187719706,Beltran,89,1
216121,187716794,Beard,50,0.9
215632,187710294,Bauer,97,1
216409,187713180,Barrett,50,0.9
215323,187711412,Arnold,50,0.9
218052,187707434,Andrade,50,0.9
216789,187706108,Adkins,50,1
216717,187707044,Acosta,50,1
215176,187702858,Dr. Bruce,30,0.65
